state,avg_aqi,year
Alabama,41.411764705882355,2018
Alaska,25.875,2018
Arizona,44.46153846153846,2018
Arkansas,42.833333333333336,2018
California,52.56603773584906,2018
Colorado,40.27272727272727,2018
Connecticut,39.875,2018
Country Of Mexico,57.0,2018
Delaware,44.0,2018
District Of Columbia,52.0,2018
Florida,39.35897435897436,2018
Georgia,40.62068965517241,2018
Hawaii,32.25,2018
Idaho,33.7,2018
Illinois,44.869565217391305,2018
Indiana,40.567567567567565,2018
Iowa,45.0,2018
Kansas,35.72727272727273,2018
Kentucky,41.74074074074074,2018
Louisiana,39.90909090909091,2018
Maine,37.2,2018
Maryland,42.9375,2018
Massachusetts,40.15384615384615,2018
Michigan,38.357142857142854,2018
Minnesota,37.095238095238095,2018
Mississippi,42.54545454545455,2018
Missouri,41.23809523809524,2018
Montana,33.94736842105263,2018
Nebraska,33.0,2018
Nevada,38.44444444444444,2018
New Hampshire,38.0,2018
New Jersey,42.9375,2018
New Mexico,35.6875,2018
New York,37.0,2018
North Carolina,40.861111111111114,2018
North Dakota,37.4,2018
Ohio,40.125,2018
Oklahoma,41.52,2018
Oregon,36.56521739130435,2018
Pennsylvania,41.794871794871796,2018
Puerto Rico,31.714285714285715,2018
Rhode Island,39.333333333333336,2018
South Carolina,37.72222222222222,2018
South Dakota,35.8,2018
Tennessee,40.52173913043478,2018
Texas,40.904761904761905,2018
Utah,45.8,2018
Vermont,32.0,2018
Virgin Islands,32.333333333333336,2018
Virginia,32.71875,2018
Washington,31.666666666666668,2018
West Virginia,37.285714285714285,2018
Wisconsin,41.629629629629626,2018
Wyoming,39.77777777777778,2018
Alabama,43.470588235294116,2019
Alaska,23.11111111111111,2019
Arizona,43.07692307692308,2019
Arkansas,43.76923076923077,2019
California,46.716981132075475,2019
Colorado,38.096774193548384,2019
Connecticut,41.125,2019
Country Of Mexico,57.5,2019
Delaware,45.0,2019
District Of Columbia,49.0,2019
Florida,40.0,2019
Georgia,44.55172413793103,2019
Hawaii,21.25,2019
Idaho,30.55,2019
Illinois,45.17391304347826,2019
Indiana,40.83783783783784,2019
Iowa,40.4375,2019
Kansas,34.27272727272727,2019
Kentucky,42.629629629629626,2019
Louisiana,40.68181818181818,2019
Maine,35.6,2019
Maryland,42.5625,2019
Massachusetts,40.76923076923077,2019
Michigan,37.107142857142854,2019
Minnesota,33.19047619047619,2019
Mississippi,43.7,2019
Missouri,40.76190476190476,2019
Montana,30.736842105263158,2019
Nebraska,29.444444444444443,2019
Nevada,35.44444444444444,2019
New Hampshire,36.285714285714285,2019
New Jersey,43.5,2019
New Mexico,33.3125,2019
New York,37.10344827586207,2019
North Carolina,42.083333333333336,2019
North Dakota,34.9,2019
Ohio,40.5,2019
Oklahoma,39.45454545454545,2019
Oregon,33.083333333333336,2019
Pennsylvania,42.05,2019
Puerto Rico,26.9,2019
Rhode Island,39.333333333333336,2019
South Carolina,38.22222222222222,2019
South Dakota,33.5,2019
Tennessee,41.21739130434783,2019
Texas,42.21951219512195,2019
Utah,43.93333333333333,2019
Vermont,31.75,2019
Virgin Islands,28.333333333333332,2019
Virginia,34.46875,2019
Washington,31.032258064516128,2019
West Virginia,38.785714285714285,2019
Wisconsin,38.55555555555556,2019
Wyoming,38.94444444444444,2019
Alabama,39.6,2020
Alaska,18.77777777777778,2020
Arizona,48.53846153846154,2020
Arkansas,39.18181818181818,2020
California,51.84905660377358,2020
Colorado,38.25806451612903,2020
Connecticut,41.0,2020
Country Of Mexico,78.0,2020
Delaware,42.333333333333336,2020
District Of Columbia,44.0,2020
Florida,40.58974358974359,2020
Georgia,39.06896551724138,2020
Hawaii,21.75,2020
Idaho,32.15,2020
Illinois,43.391304347826086,2020
Indiana,40.23529411764706,2020
Iowa,40.3125,2020
Kansas,35.0,2020
Kentucky,38.42307692307692,2020
Louisiana,38.27272727272727,2020
Maine,35.5,2020
Maryland,38.0625,2020
Massachusetts,40.30769230769231,2020
Michigan,35.51851851851852,2020
Minnesota,33.285714285714285,2020
Mississippi,42.9,2020
Missouri,37.904761904761905,2020
Montana,29.57894736842105,2020
Nebraska,30.22222222222222,2020
Nevada,39.111111111111114,2020
New Hampshire,37.57142857142857,2020
New Jersey,40.5,2020
New Mexico,33.8125,2020
New York,36.0,2020
North Carolina,36.361111111111114,2020
North Dakota,35.44444444444444,2020
Ohio,37.825,2020
Oklahoma,41.611111111111114,2020
Oregon,33.69565217391305,2020
Pennsylvania,40.425,2020
Puerto Rico,20.636363636363637,2020
Rhode Island,38.0,2020
South Carolina,37.5,2020
South Dakota,35.4,2020
Tennessee,37.08695652173913,2020
Texas,39.6,2020
Utah,42.86666666666667,2020
Vermont,31.75,2020
Virgin Islands,25.666666666666668,2020
Virginia,31.29032258064516,2020
Washington,29.580645161290324,2020
West Virginia,35.357142857142854,2020
Wisconsin,38.77777777777778,2020
Wyoming,35.94444444444444,2020
Alabama,40.53333333333333,2021
Alaska,20.625,2021
Arizona,50.38461538461539,2021
Arkansas,42.63636363636363,2021
California,51.264150943396224,2021
Colorado,39.70967741935484,2021
Connecticut,40.375,2021
Country Of Mexico,51.5,2021
Delaware,43.333333333333336,2021
District Of Columbia,51.0,2021
Florida,40.921052631578945,2021
Georgia,42.6551724137931,2021
Hawaii,23.25,2021
Idaho,36.68421052631579,2021
Illinois,45.95652173913044,2021
Indiana,41.57575757575758,2021
Iowa,44.0,2021
Kansas,39.54545454545455,2021
Kentucky,41.46153846153846,2021
Louisiana,39.31818181818182,2021
Maine,34.9,2021
Maryland,41.25,2021
Massachusetts,40.0,2021
Michigan,40.074074074074076,2021
Minnesota,37.0,2021
Mississippi,42.5,2021
Missouri,39.95238095238095,2021
Montana,34.473684210526315,2021
Nebraska,34.3,2021
Nevada,41.44444444444444,2021
New Hampshire,37.42857142857143,2021
New Jersey,42.375,2021
New Mexico,35.125,2021
New York,37.629629629629626,2021
North Carolina,40.25,2021
North Dakota,38.44444444444444,2021
Ohio,40.51282051282051,2021
Oklahoma,44.8,2021
Oregon,34.130434782608695,2021
Pennsylvania,43.6,2021
Puerto Rico,25.3,2021
Rhode Island,38.333333333333336,2021
South Carolina,41.214285714285715,2021
South Dakota,35.4,2021
Tennessee,40.26086956521739,2021
Texas,40.55555555555556,2021
Utah,43.86666666666667,2021
Vermont,32.0,2021
Virgin Islands,25.0,2021
Virginia,33.21875,2021
Washington,31.129032258064516,2021
West Virginia,37.642857142857146,2021
Wisconsin,41.41379310344828,2021
Wyoming,35.55555555555556,2021
Alabama,40.733333333333334,2022
Alaska,20.25,2022
Arizona,43.61538461538461,2022
Arkansas,42.09090909090909,2022
California,49.28846153846154,2022
Colorado,39.225806451612904,2022
Connecticut,40.5,2022
Country Of Mexico,58.5,2022
Delaware,44.333333333333336,2022
District Of Columbia,49.0,2022
Florida,41.1578947368421,2022
Georgia,42.37931034482759,2022
Hawaii,24.0,2022
Idaho,34.36842105263158,2022
Illinois,44.21739130434783,2022
Indiana,40.63636363636363,2022
Iowa,40.75,2022
Kansas,38.72727272727273,2022
Kentucky,41.88461538461539,2022
Louisiana,41.22727272727273,2022
Maine,33.90909090909091,2022
Maryland,41.0,2022
Massachusetts,40.53846153846154,2022
Michigan,39.148148148148145,2022
Minnesota,33.714285714285715,2022
Mississippi,43.9,2022
Missouri,41.285714285714285,2022
Montana,30.75,2022
Nebraska,26.8,2022
Nevada,40.111111111111114,2022
New Hampshire,37.142857142857146,2022
New Jersey,41.75,2022
New Mexico,33.75,2022
New York,37.333333333333336,2022
North Carolina,40.34285714285714,2022
North Dakota,38.111111111111114,2022
Ohio,40.0,2022
Oklahoma,44.714285714285715,2022
Oregon,33.56521739130435,2022
Pennsylvania,43.275,2022
